SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
AAG	DEALS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.706	ROAAGEACNOR7	3.060000	2	0	3.060000
AAG	REGS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 17:10:46.285	ROAAGEACNOR7	3.060000	2	1	3.060000
ACBU	POFX	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.521	ROACBUACNOR0	0.890000	1	0	0.890000
ACBU	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.005	ROACBUACNOR0	0.890000	1	0	0.890000
ACBU	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.896	ROACBUACNOR0	0.890000	1	1	0.890000
ADMY	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:13.901	ROADMYACNOR7	3.520000	1	0	3.520000
ADMY	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.757	ROADMYACNOR7	3.520000	1	1	3.520000
ADS	XDSI	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.606	DE000A1EWWW0	969.000000	1	0	969.000000
ADS	XRSI	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 17:58:56.685	DE000A1EWWW0	969.000000	1	1	969.000000
AGCM	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.232	ROAGCMACNOR6	0.000000	1	0	0.000000
AGCM	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.49	ROAGCMACNOR6	0.000000	1	1	0.000000
AGQR	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.045	ROAGQRACNOR5	2.200000	1	0	2.200000
AGQR	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.946	ROAGQRACNOR5	2.200000	1	1	2.200000
ALB	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.261	ROAPAMACNOR1	0.310000	1	0	0.348000
ALB	XRS1	20181107	4.524000	4.524000	13	1	0.348000	0.348000	0.348000	0.348000	0.348000	0.038000	12.260000	0.038000	12.260000	2018-11-07 17:14:03.536	ROAPAMACNOR1	0.310000	1	1	0.348000
ALB25	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.062	ROALBUDBL032	87.550000	2	1	87.550000
ALB25	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.508	ROALBUDBL032	87.550000	2	0	87.550000
ALB25A	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 09:45:02.096	ROALBUDBL040	93.000000	2	1	93.000000
ALB25A	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.486	ROALBUDBL040	93.000000	2	0	93.000000
ALB25B	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.112	ROALBUDBL057	99.200000	2	1	99.200000
ALB25B	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.453	ROALBUDBL057	99.200000	2	0	99.200000
ALB26	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.159	ROALBUDBL065	99.250000	2	1	99.250000
ALB26	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.494	ROALBUDBL065	99.250000	2	0	99.250000
ALB27	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.126	ROALBUDBL073	99.250000	2	1	99.250000
ALB27	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.463	ROALBUDBL073	99.250000	2	0	99.250000
ALCQ	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:13.852	ROALCQACNOR7	41.000000	1	0	41.000000
ALCQ	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 17:49:36.079	ROALCQACNOR7	41.000000	1	1	41.000000
ALR	DEALS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.821	ROALROACNOR0	3.130000	2	0	3.180000
ALR	POF	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.483	ROALROACNOR0	3.130000	2	0	3.180000
ALR	POFS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.541	ROALROACNOR0	3.130000	2	0	3.180000
ALR	REGS	20181107	115765.200000	115765.200000	36736	45	3.130000	3.180000	3.150000	3.100000	3.180000	0.050000	1.600000	0.020000	0.640000	2018-11-07 17:55:57.211	ROALROACNOR0	3.130000	2	1	3.180000
